2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.172392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.272364,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.388703,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.495108,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.632663,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.752009,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.872684,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:20-03:00 srv1 samba[965]: [2026/01/25 13:33:20.994380,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:21-03:00 srv1 samba[965]: [2026/01/25 13:33:21.117164,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:21-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:21-03:00 srv1 samba[965]: [2026/01/25 13:33:21.225513,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:33:21-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:33:21-03:00 srv1 samba[965]: [2026/01/25 13:33:21.463963,  0] source4/dsdb/dns/dns_update.c:85(dnsupdate_nameupdate_done)
2026-01-25T13:33:21-03:00 srv1 samba[965]:   dnsupdate_nameupdate_done: Failed DNS update with exit code 44
2026-01-25T13:43:15-03:00 srv1 samba[965]: [2026/01/25 13:43:15.560758,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:15-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:15-03:00 srv1 samba[965]: [2026/01/25 13:43:15.704197,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:15-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:15-03:00 srv1 samba[965]: [2026/01/25 13:43:15.823332,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:15-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:15-03:00 srv1 samba[965]: [2026/01/25 13:43:15.952972,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:15-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.062538,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.180339,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.300010,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.435473,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.549668,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.677080,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.0d491fd4-d42c-4d74-9d49-6745cf273338.domains] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.796626,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:16-03:00 srv1 samba[965]: [2026/01/25 13:43:16.908687,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:16-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.018253,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.133798,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.270396,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.392901,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.505004,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.640970,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.784378,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:17-03:00 srv1 samba[965]: [2026/01/25 13:43:17.905193,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:17-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.020820,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.137207,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.260699,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.366607,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.472373,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.587288,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.717582,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.841537,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:18-03:00 srv1 samba[965]: [2026/01/25 13:43:18.964252,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:18-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.107690,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.229514,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.351473,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.476643,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.596687,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.712444,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.835441,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:19-03:00 srv1 samba[965]: [2026/01/25 13:43:19.955729,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:19-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:20-03:00 srv1 samba[965]: [2026/01/25 13:43:20.092151,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:20-03:00 srv1 samba[965]: [2026/01/25 13:43:20.208404,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:20-03:00 srv1 samba[965]: [2026/01/25 13:43:20.330398,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:20-03:00 srv1 samba[965]: [2026/01/25 13:43:20.476630,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:20-03:00 srv1 samba[965]: [2026/01/25 13:43:20.611519,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:20-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:21-03:00 srv1 samba[965]: [2026/01/25 13:43:21.032765,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:21-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:21-03:00 srv1 samba[965]: [2026/01/25 13:43:21.186775,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T13:43:21-03:00 srv1 samba[965]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T13:43:21-03:00 srv1 samba[965]: [2026/01/25 13:43:21.427649,  0] source4/dsdb/dns/dns_update.c:85(dnsupdate_nameupdate_done)
2026-01-25T13:43:21-03:00 srv1 samba[965]:   dnsupdate_nameupdate_done: Failed DNS update with exit code 44
2026-01-25T22:29:52-03:00 srv1 samba[834]: [2026/01/25 22:29:52.151472,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T22:29:52-03:00 srv1 samba[834]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T22:29:52-03:00 srv1 samba[834]: [2026/01/25 22:29:52.374593,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T22:29:52-03:00 srv1 samba[834]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T22:29:52-03:00 srv1 samba[834]: [2026/01/25 22:29:52.536875,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T22:29:52-03:00 srv1 samba[834]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T22:29:52-03:00 srv1 samba[834]: [2026/01/25 22:29:52.662264,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-25T22:29:52-03:00 srv1 samba[834]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-25T22:29:52-03:00 srv1 samba[834]: [2026/01/25 22:29:52.835790,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
